headline,summary,published_at,url
স্কয়ার ফার্মার আরও এক উদ্যোক্তা কিনবেন ২১ কোটি টাকার শেয়ার,কোম্পানিটির চেয়ারম্যান স্যামুয়েল এস চৌধুরী বাজার থেকে ১০ লাখ শেয়ার কেনার ঘোষণা দিয়েছেন। দেশের প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জে (ডিএসই) শেয়ার কেনার এ ঘোষণা দেওয়া হয়।,05-12-2023,https://www.prothomalo.com/business/market/1uudd3bfxu
৪২ কোটি টাকার শেয়ার কিনবেন দুই উদ্যোক্তা,শেয়ারবাজারে এক বছরের বেশি সময় ধরে নিয়ন্ত্রক সংস্থা বিএসইসির বেঁধে দেওয়া ফ্লোর প্রাইস বা সর্বনিম্ন মূল্যস্তরে আটকে আছে স্কয়ার ফার্মাসিউটিক্যালসের শেয়ার। ,04-12-2023,https://www.prothomalo.com/business/market/ae2xf385l4
দুই বছরে ৭০০% মূল্যবৃদ্ধির পর তদন্তের সিদ্ধান্ত,শেয়ারবাজারে দুই বছরের বেশি সময় ধরে বন্ধ থাকা একটি কোম্পানির ২৩ টাকার শেয়ারের দাম সোয়া ৭০০ শতাংশ বৃদ্ধি পাওয়ার পর ঘুম ভাঙল নিয়ন্ত্রক সংস্থা বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশনের (বিএসইসি)। ,29-11-2023,https://www.prothomalo.com/business/market/zhy5h245r4
পতন ঠেকাতে কৃত্রিমভাবে সূচক বাড়ানোর চেষ্টা,"বাজারে লেনদেন যেন আরও কমে না যায়, সে জন্য কৃত্রিমভাবে সূচক বাড়ানোর চেষ্টা করছে নিয়ন্ত্রক সংস্থা বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন (বিএসইসি)।",29-11-2023,https://www.prothomalo.com/business/market/biwhzyadiq
এক কোটিতে বন্ধ কোম্পানি কিনে ৪০ কোটি টাকার বাণিজ্য,"নিয়ম অনুযায়ী, তালিকাভুক্ত কোনো কোম্পানি নতুন শেয়ার ইস্যু করতে গেলে নিয়ন্ত্রক সংস্থার অনুমোদন নিতে হয়। কিন্তু রাঙামাটি ফুড ৪ কোটি শেয়ার ইস্যু করেছে কোনো অনুমোদন ছাড়াই। ",23-11-2023,https://www.prothomalo.com/business/market/jtyoot6u6m
গ্রিন ডেলটা ৭৭ কোটি টাকায় স্বাস্থ্যমন্ত্রীর কোম্পানি কিনছে,স্বাস্থ্যমন্ত্রী ও তাঁর পরিবারের সদস্যদের কাছে থাকা সানলাইফ ইনস্যুরেন্সের উদ্যোক্তাদের ১ কোটি ৫৪ লাখ শেয়ার কিনে নিচ্ছে গ্রিন ডেলটা ইনস্যুরেন্স। প্রতিটি শেয়ার ঠিক হয়েছে ৫০ টাকা।,22-11-2023,https://www.prothomalo.com/business/market/jc7t51ildd
ফিলিপাইনে কোম্পানি খুলেছে স্কয়ার ফার্মা,এবার আসিয়ানভুক্ত দেশ ফিলিপাইনে ডানা মেলছে স্কয়ার ফার্মা। কোম্পানিটি স্কয়ার গ্রুপের প্রতিষ্ঠাতা প্রয়াত স্যামসন এইচ চৌধুরীর নামে স্যামসন ফার্মা ইনকরপোরেশন নামে ফিলিপাইনে নতুন কোম্পানি খুলেছে। গতকাল মঙ্গলবার দেশের প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জের (ডিএসই) মাধ্যমে এ তথ্য শেয়ারধারীদের জানিয়েছে দেশের ওষুধ খাতের শীর্ষস্থানীয় এই কোম্পানি।,22-11-2023,https://www.prothomalo.com/business/market/f5ibdvb669
"শেয়ারবাজারে লেনদেনে ধীরগতি, মূল্যবৃদ্ধির শীর্ষে ফু-ওয়াং সিরামিক","আজ বেলা ১১টা পর্যন্ত শেয়ারবাজারে লেনদেন হয়েছে ৯৪ কোটি ২৫ লাখ টাকার মতো। এই সময়ে লেনদেনে শীর্ষে ছিল সিরামিকস, টেক্সটাইল, খাদ্য, ফার্মাসিউটিক্যালস, পাট, পলিমার, ভোজ্যতেল, অ্যালুমিনিয়াম ও হাসপাতাল খাতের কোম্পানিগুলো।",21-11-2023,https://www.prothomalo.com/business/market/lwiqs3e3d3
লভ্যাংশ ঘোষণায় শেয়ারবাজারে লেনদেনের শীর্ষে সি অ্যান্ড এ টেক্সটাইল,প্রথম দেড় ঘণ্টায় লেনদেনের শীর্ষে ছিল সি অ্যান্ড এ টেক্সটাইল লিমিটেড। এ সময় কোম্পানিটির প্রায় ৪৩ কোটি ৮৩ লাখ টাকার শেয়ার লেনদেন হয়েছে। দ্বিতীয় অবস্থানে ছিল সি পার্ল বিচ রিসোর্ট অ্যান্ড স্পা লিমিটেড। ,20-11-2023,https://www.prothomalo.com/business/market/8eki30kryo
"কোম্পানি বন্ধ, তবু  লাফিয়ে বাড়ছে শেয়ারদর",ছয় মাসের ব্যবধানে শ্যামপুর সুগারের শেয়ারের দাম ২০০% ও খুলনা প্রিন্টিংয়ের শেয়ারদর ১২৫% বেড়েছে। নিয়ন্ত্রক সংস্থার ভূমিকা নিয়ে প্রশ্ন।,17-11-2023,https://www.prothomalo.com/business/market/w5clw8pk7r
নির্বাচনের আগে ব্রোকারেজ হাউস পরিচালনা আইন সংশোধনে আপত্তি,"শেয়ারবাজারের ব্রোকারেজ হাউস, ডিলার ও অনুমোদিত প্রতিনিধি বিধিমালার সংশোধনের খসড়া প্রকাশ করেছে নিয়ন্ত্রক সংস্থা বিএসইসি। কিন্তু নির্বাচনের আগে এ বিধিমালা চূড়ান্ত করার বিপক্ষে ব্রোকার মালিকেরা।",16-11-2023,https://www.prothomalo.com/business/market/1ob8kmhmkv
